V,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24
71.60459,-0.1455532,-0.10201029,-0.09293096,-0.10445112,-0.11522337,-0.10305316,-0.07592631,-0.07377273,-0.09708653,-0.08478051,-0.08006021,-0.08795487,-0.059589995,-0.08693968,-0.10806575,-0.09708608,-0.0975065,-0.08861262,-0.056535852,-0.07725299,-0.10220718,-0.0950875,-0.11236454,-0.0709459
91.89324,-0.2077049,-0.17847799,-0.16544693,-0.17368985,-0.18242464,-0.16024233,-0.14491693,-0.1494398,-0.16274517,-0.14966108,-0.14390313,-0.15089839,-0.134639286,-0.15414567,-0.16950616,-0.16225771,-0.16120808,-0.15515608,-0.120240933,-0.13931967,-0.1643654,-0.15996119,-0.17774536,-0.1370148
68.38342,-0.1278295,-0.10001757,-0.08925624,-0.09493356,-0.10489955,-0.09325384,-0.07254899,-0.07504541,-0.08744125,-0.07633916,-0.07134004,-0.07635167,-0.061859118,-0.08076113,-0.09587835,-0.08795849,-0.08816625,-0.08119915,-0.052902496,-0.06663439,-0.09202212,-0.08496699,-0.10690974,-0.07428479
87.06521,-0.1867405,-0.17563173,-0.16551657,-0.16676795,-0.17102565,-0.1576381,-0.14331396,-0.15030632,-0.15693034,-0.14572706,-0.14142978,-0.14597656,-0.145165663,-0.1542718,-0.16402985,-0.15424961,-0.15466908,-0.15563047,-0.135022197,-0.14426794,-0.16340356,-0.15688078,-0.17296109,-0.15465672
82.68448,-0.1989784,-0.11226965,-0.10347992,-0.13669398,-0.1515218,-0.12372753,-0.08380311,-0.05278054,-0.12665893,-0.12003531,-0.10167321,-0.12150009,-0.006885945,-0.10252997,-0.14117576,-0.13227579,-0.10055353,-0.06961679,-0.024412656,-0.10210643,-0.1224826,-0.12574091,-0.06698128,0.02351894
110.97404,-0.2464244,-0.18436267,-0.17989875,-0.20292565,-0.21224516,-0.18313958,-0.15632377,-0.13809789,-0.19198541,-0.18521897,-0.16542404,-0.18441676,-0.096929365,-0.17508349,-0.19891858,-0.18482316,-0.13209342,-0.12390559,-0.073373456,-0.16733389,-0.16339884,-0.16642541,-0.07172956,-0.02466173
76.62093,-0.1601343,-0.13551444,-0.12352208,-0.12940429,-0.13698492,-0.12217046,-0.10275381,-0.10898167,-0.12083324,-0.10707507,-0.10267714,-0.10849655,-0.096267383,-0.11304834,-0.12832398,-0.11790383,-0.12038594,-0.11386072,-0.08779439,-0.09926944,-0.12352958,-0.11640176,-0.13785713,-0.1054713
80.5349,-0.1754269,-0.17242035,-0.15644975,-0.15673612,-0.16015113,-0.14211489,-0.13020086,-0.14379767,-0.14726522,-0.13320019,-0.12734737,-0.13114882,-0.133014685,-0.14347214,-0.15034734,-0.14169229,-0.14279417,-0.13950687,-0.122154977,-0.12678057,-0.14666027,-0.14233755,-0.16248311,-0.14244557
72.74282,-0.153041,-0.10453633,-0.09520167,-0.10964273,-0.11878262,-0.10469,-0.07521556,-0.07487682,-0.10167971,-0.086558,-0.08224374,-0.09221586,-0.059048163,-0.08776802,-0.1119226,-0.09809667,-0.10219957,-0.09125917,-0.059006841,-0.08018764,-0.10398237,-0.09707785,-0.1126171,-0.0670543
82.22376,-0.1814334,-0.14941034,-0.1378262,-0.14466072,-0.15592483,-0.13856945,-0.12065216,-0.11982708,-0.13388882,-0.12451965,-0.11758358,-0.12369508,-0.105877414,-0.12816622,-0.1429963,-0.13799335,-0.13207661,-0.12887597,-0.090114191,-0.11350354,-0.14050029,-0.13607589,-0.15333676,-0.11388844
